group,run_id,adversarial_method,feature_selection,model,train_regime,accuracy__clean,accuracy__fgsm,accuracy__pgd,accuracy__transfer_pgd,auc__clean,auc__fgsm,auc__pgd,auc__transfer_pgd,f1__clean,f1__fgsm,f1__pgd,f1__transfer_pgd
f,f_fs_correlation_main,both,correlation,SGDClassifier,adv_train,0.9434459395878424,0.9749694175214078,0.973557918509457,0.9476804366236944,0.8470413681514317,0.9777110144529436,0.9785671852391342,0.9643601126555869,0.9691779065593108,0.9861458333333336,0.985376008326828,0.9707522356654392
f,f_fs_correlation_main,both,correlation,SGDClassifier,baseline,0.942599040180672,0.8491578055895361,0.8951726733791286,0.8505693046014868,0.9169006362184318,0.6639727564777783,0.6616077989972187,0.4838702822828278,0.9684036050968612,0.913803301607786,0.9416448402304872,0.915675446049278
f,f_fs_forward_main,both,forward,RidgeClassifier,adv_train,0.9287663498635552,0.9249082525642232,0.9249082525642232,0.9249082525642232,0.7308243005856215,0.4458283197000812,0.4458283197000812,0.4458283197000812,0.9615638486925616,0.959566274827726,0.959566274827726,0.959566274827726
f,f_fs_forward_main,both,forward,RidgeClassifier,baseline,0.9210501552648912,0.9188858567799002,0.9188858567799002,0.9188858567799002,0.7308243005856215,0.4458283197000812,0.4458283197000812,0.4458283197000812,0.9575769833645144,0.9564646464646464,0.9564646464646464,0.9564646464646464
f,f_fs_forward_main,both,forward,SGDClassifier,adv_train,0.9391173426178602,0.9391173426178602,0.9391173426178602,0.9391173426178602,0.7308243005856215,0.4458283197000812,0.4458283197000812,0.4458283197000812,0.966964513658412,0.966964513658412,0.966964513658412,0.966964513658412
f,f_fs_forward_main,both,forward,SGDClassifier,baseline,0.9391173426178602,0.9391173426178602,0.9391173426178602,0.9391173426178602,0.7308243005856215,0.4458283197000812,0.4458283197000812,0.4458283197000812,0.966964513658412,0.966964513658412,0.966964513658412,0.966964513658412
f,f_fs_importance_main,both,importance,RidgeClassifier,adv_train,0.9311188482168062,0.9493742354380352,0.9497506351745554,0.930930648348546,0.8418309287045392,0.9647622976968204,0.9589509518470508,0.8442405734119027,0.962314662273476,0.972356386805056,0.9725506322607176,0.9626539126895288
f,f_fs_importance_main,both,importance,RidgeClassifier,baseline,0.9237790533546628,0.8603556977510116,0.8870800790439447,0.8708948903735767,0.8796673300439887,0.4377682031594416,0.317527278816011,0.1205157051890625,0.9585508136321768,0.92487597448618,0.9401257359544954,0.930978971727538
f,f_fs_importance_main,both,importance,SGDClassifier,adv_train,0.9414698409711112,0.983908911263762,0.9870142090900536,0.9747812176531476,0.8339480106979396,0.9811522045120968,0.9798197955659692,0.9380809225486456,0.9681808880703908,0.9910513370663038,0.992765778989306,0.986038758074599
f,f_fs_importance_main,both,importance,SGDClassifier,baseline,0.942787240048932,0.4971299520090336,0.0543897619271666,0.124682412722311,0.907980883351564,0.2786510330683654,0.0189935305663367,0.0266236465470179,0.9684745411179094,0.6587484035759898,0.0909995477159656,0.2110262934690415
