group,run_id,train_regime_used,adversarial_method,feature_selection,f1__clean,f1__fgsm,f1__pgd,f1__transfer_pgd
a,a_no_fs_no_aug,baseline,none,,0.9775438962121606,0.1275658532287904,0.1287198450431414,0.1489287580560878
b,b_fs_forward_only,baseline,none,forward,0.966964513658412,0.966964513658412,0.966964513658412,0.966964513658412
c,c_fgsm_only,adv_train,fgsm,,0.9745348716349652,0.9987867278577832,0.9962629612084848,0.6599795553283925
d,d_owc_only,adv_train,owc-sawn,,0.9782237624786636,0.1790633608815426,0.1677463937116697,0.2468134414831981
e,e_fgsm_owc,adv_train,both,,0.97475586952005,0.9974718213420416,0.9937034316297616,0.6025500411296957
