model,split,scenario,accuracy,precision,recall,f1,auc
SGDClassifier,clean_test,baseline_clean_train_clean_test,0.9594429283899502,0.9647264500205677,0.9907065159995776,0.9775438962121606,0.9580020322656368
RidgeClassifier,clean_test,baseline_clean_train_clean_test,0.9540792321445375,0.9591043860545957,0.9907065159995776,0.9746493506493505,0.9471070127756223
SGDClassifier,adv_test,baseline_clean_train_adv_test,0.0724569492801355,0.3993775933609959,0.08131798500369627,0.1351232780556287,0.025662232781783513
RidgeClassifier,adv_test,baseline_clean_train_adv_test,0.24277783005551895,0.6950082281952825,0.2676100961030732,0.38642775447960354,0.048396905017390635
SGDClassifier,clean_test,adv_train_clean_test,0.9504093347134657,0.956131401754744,0.9897560460449889,0.972653209485756,0.9550165151222487
RidgeClassifier,clean_test,adv_train_clean_test,0.948997835701515,0.9544852866306893,0.989967261590453,0.9719025401762571,0.9361164173393006
SGDClassifier,adv_test,adv_train_adv_test,0.9984944010539193,0.9983131259884027,1.0,0.9991558510077028,0.99997373485445
RidgeClassifier,adv_test,adv_train_adv_test,0.975628117060318,0.97347316471314,0.999894392227268,0.9865069028392811,0.9927154348404602
