model,split,scenario,accuracy,precision,recall,f1,auc
SGDClassifier,clean_test,baseline_clean_train_clean_test,0.9594429283899502,0.9647264500205677,0.9907065159995776,0.9775438962121606,0.9580020322656368
RidgeClassifier,clean_test,baseline_clean_train_clean_test,0.9540792321445375,0.9591043860545957,0.9907065159995776,0.9746493506493505,0.9471070127756223
SGDClassifier,adv_test,baseline_clean_train_adv_test,0.12929330949468334,0.5426877470355731,0.14499947196113633,0.22885240436703058,0.04062287792671696
RidgeClassifier,adv_test,baseline_clean_train_adv_test,0.36313164580784796,0.7773670158143355,0.3997254197908966,0.5279676384432974,0.1298452125661941
SGDClassifier,clean_test,adv_train_clean_test,0.9542674320127976,0.959112746601247,0.9909177315450417,0.9747558695200499,0.9346958651182634
RidgeClassifier,clean_test,adv_train_clean_test,0.9480568363602145,0.95314564488261,0.9903896926813813,0.9714108141702921,0.9359694966813806
SGDClassifier,adv_test,adv_train_adv_test,0.9954832031617578,0.9949563938215824,1.0,0.9974718213420415,0.9997710007622364
RidgeClassifier,adv_test,adv_train_adv_test,0.9751576173896678,0.9762027935851009,0.9964093357271095,0.9862025713389777,0.9928411062660429
