model,split,scenario,accuracy,precision,recall,f1,auc
SGDClassifier,clean_test,baseline_clean_train_clean_test,0.9391173426178602,0.936041913799921,1.0,0.9669645136584121,0.7308243005856215
RidgeClassifier,clean_test,baseline_clean_train_clean_test,0.9210501552648913,0.9186069072564998,1.0,0.9575769833645145,0.7308243005856215
SGDClassifier,adv_test,baseline_clean_train_adv_test,0.9391173426178602,0.936041913799921,1.0,0.9669645136584121,0.4458283197000812
RidgeClassifier,adv_test,baseline_clean_train_adv_test,0.9188858567799002,0.9165618042783854,1.0,0.9564646464646465,0.4458283197000812
SGDClassifier,clean_test,adv_train_clean_test,0.9391173426178602,0.936041913799921,1.0,0.9669645136584121,0.7308243005856215
RidgeClassifier,clean_test,adv_train_clean_test,0.9287663498635551,0.9259730099745747,1.0,0.9615638486925616,0.7308243005856215
SGDClassifier,adv_test,adv_train_adv_test,0.9391173426178602,0.936041913799921,1.0,0.9669645136584121,0.4458283197000812
RidgeClassifier,adv_test,adv_train_adv_test,0.9249082525642232,0.9222752508035453,1.0,0.9595662748277259,0.4458283197000812
