model,split,scenario,accuracy,precision,recall,f1,auc
SGDClassifier,clean_test,baseline_clean_train_clean_test,0.942787240048932,0.9513089538555567,0.9862709895448305,0.9684745411179094,0.9079808833515639
RidgeClassifier,clean_test,baseline_clean_train_clean_test,0.9237790533546627,0.9298123697011814,0.9891223994085965,0.9585508136321769,0.8796673300439887
SGDClassifier,adv_test,baseline_clean_train_adv_test,0.4971299520090336,0.8331448877402682,0.544724891752033,0.6587484035759898,0.2786510330683654
RidgeClassifier,adv_test,baseline_clean_train_adv_test,0.8603556977510116,0.8881866796305299,0.9647270039074876,0.9248759744861801,0.4377682031594416
SGDClassifier,clean_test,adv_train_clean_test,0.9414698409711113,0.9388828256771505,0.9993663533636076,0.9681808880703908,0.8339480106979396
RidgeClassifier,clean_test,adv_train_clean_test,0.9311188482168062,0.9388247112004018,0.987010243953955,0.9623146622734761,0.8418309287045392
SGDClassifier,adv_test,adv_train_adv_test,0.9839089112637621,0.9822614107883817,1.0,0.9910513370663038,0.9811522045120967
RidgeClassifier,adv_test,adv_train_adv_test,0.9493742354380352,0.9468628039627739,0.9992607455908755,0.9723563868050561,0.9647622976968204
