model,split,scenario,accuracy,precision,recall,f1,auc
SGDClassifier,clean_test,baseline_clean_train_clean_test,0.998237219843868,0.9882352941176471,0.9767441860465116,0.9824561403508771,0.9994431081847529
RidgeClassifier,clean_test,baseline_clean_train_clean_test,0.9864853521363217,0.7912813738441216,0.9950166112956811,0.8815305371596763,0.9965098802770713
SGDClassifier,adv_test,baseline_clean_train_adv_test,0.8635104507680685,0.0009746588693957114,0.0016611295681063123,0.0012285012285012285,0.3357320410466864
RidgeClassifier,adv_test,baseline_clean_train_adv_test,0.0060438176781667085,0.00026678523788350376,0.0049833887043189366,0.0005064573309698658,0.0004812590924484563
SGDClassifier,clean_test,adv_train_clean_test,0.9973138588097037,0.9863481228668942,0.9601328903654485,0.973063973063973,0.9989860809355313
RidgeClassifier,clean_test,adv_train_clean_test,0.9531604129942081,0.5588235294117647,0.34717607973421927,0.42827868852459017,0.9881352083982575
SGDClassifier,adv_test,adv_train_adv_test,0.9994963485268195,0.9983277591973244,0.9916943521594684,0.9950000000000001,0.9999383189445137
RidgeClassifier,adv_test,adv_train_adv_test,0.9997481742634097,0.9966832504145937,0.9983388704318937,0.9975103734439834,0.9998234746935846
